,id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite
76,232,adnxs.com,,anj,dTM7k!M40LgkMX<ghqdmU(7TH[Piyc!_xa)e7UMG?R%YwjpO4w=uA1%<>84..=GSZLHnCz!qYbh+uNB*f?`cFX7Bd#]/NK1`oOuAObr_hDUi=CiF'Gd0s9=X7RDP@NBl!OvcQz5UC0!9_*dQSAf%8W1OH6egNs:%$]gei6+55$Fq_i/74^]1ajTHj0Xa/*LO>V]VS)>D#j+@$p9562Apa'l@JV52_sl^USBBks<Qrp75//mcjCuz.>!plU3NPpb4gcb75:$/74Y=TH3kH]!*B.QCS/#wLQJ5ruhLEO6[CGeX6P5DR]^@S1<n295hvU<i`-Y_g!sv0rW0IQqZEY8B08n`0+cKfc^8mdU$=u=u6F#0rh'3pf3LpJb6(H420Ti3w!NYV^!'PJ12LBgR,.adnxs.com,/,1540897549,1533121549431633,1533121192818062,0,1,0,0
77,235,emxdgt.com,,euid,43221533121549613060f1,.emxdgt.com,/,1540897549,1533121549635664,1533121549635664,0,1,0,0
78,236,emxdgt.com,,dt,213,.emxdgt.com,/,1540897549,1533121549635720,1533121549635720,0,1,0,0
79,237,wayfair.com,,CSNUtId,a2d0206c-5b61-940d-a378-9cb057c6f302,.wayfair.com,/,2147483647,1533121549673644,1533121549673644,0,0,0,0
80,240,spotxchange.com,,audience,d935f199-957a-11e8-bedc-1f4f48b81606,.spotxchange.com,/,1564657549,1533121549776110,1533121549776110,0,0,0,0
81,241,rfihub.com,,eud,H4sIAAAAAAAAAOOSMXR2dA129QlMy3LMqSh2LynLcA72jnAtrPIq9RUSNrEwNzazNLU0NzcxsbA0M7Q0twziNTQ1NjY0MjQ1sbQwNIyCcY0MjI3NLV8xokgbAQCA2oY0YQAAAA,.rfihub.com,/,1566817549,1533121549836655,1533121203405184,0,0,0,0
82,242,rfihub.com,,smd,H4sIAAAAAAAAAOPiNTQ1NjY0MjQ1sbQwNAIALJx-Og8AAAA,.rfihub.com,/,1566817549,1533121549836734,1533121549836734,0,0,0,0
83,243,rfihub.com,,rud,H4sIAAAAAAAAAOMSNjQwMbQwsDQyNzWxMDU2trQ0NxTiM9RNzvH1znc2140093SU4jUEyhgaGRoZGBubWwIAfZ4wrzQAAAA,.rfihub.com,/,1566817549,1533121549836772,1533121203405299,0,0,0,0
84,244,casalemedia.com,,CMID,W2GSqblQJZAAAENXA.cAAAC4,.casalemedia.com,/,1564657549,1533121549871764,1533121193799102,0,0,0,0
85,245,casalemedia.com,,CMPS,685,.casalemedia.com,/,1540897549,1533121549871822,1533121193799183,0,0,0,0
86,246,casalemedia.com,,CMPRO,655,.casalemedia.com,/,1540897549,1533121549871844,1533121548740824,0,0,0,0
87,247,casalemedia.com,,CMSUM,2e5b61940d27604873695977448961979,.casalemedia.com,/,1564657549,1533121549871871,1533121549871871,0,0,0,0
88,248,casalemedia.com,,CMST,W2GSqVthlA0C,.casalemedia.com,/,1533207949,1533121549871894,1533121193799200,0,0,0,0
89,249,casalemedia.com,,CMRUM3,2e5b61940d27604873695977448961979,.casalemedia.com,/,1564657549,1533121549871923,1533121549871923,0,0,0,0
90,251,amazon-adsystem.com,,ad-privacy,0,.amazon-adsystem.com,/,1554116749,1533121549934751,1533121549934751,0,0,0,0
91,253,amazon-adsystem.com,,ad-id,AweEnGaXjUb2m8gTkgYgAw0,.amazon-adsystem.com,/,1554116750,1533121550217643,1533121549733451,0,0,0,0
92,254,doubleclick.net,,DSID,NO_DATA,.doubleclick.net,/,1533125150,1533121550244649,1533121550244649,0,1,0,0
93,255,3lift.com,,sync,CgkIIRDFr6mpzywKCQhiEMWvqanPLAoKCMIBEMWvqanPLAoJCAkQu7SUqc8sCgoIqQEQu7SUqc8sCgkISRDFr6mpzywKCQgLEMWvqanPLAoJCE0Qu7SUqc8sCgoIjgEQu7SUqc8sCgkIcxDFr6mpzywKCQgUEMWvqanPLAoJCDUQxa-pqc8sCgkIORC7tJSpzywKCgjZARDFr6mpzywKCQg6ELu0lKnPLAoKCJoBELu0lKnPLAoJCBsQxa-pqc8sCgoIvQEQu7SUqc8sCgkIHxC7tJSpzywKCQhfELu0lKnPLA==,.3lift.com,/sync,1540897550,1533121550303356,1533121206864299,0,0,0,0
94,258,ipredictive.com,,cu,d9d3917e-957a-11e8-8c4a-1ff3cd5e0729|1533121550787,.ipredictive.com,/,1564657550,1533121550841234,1533121550841234,0,0,0,0
95,259,outbrain.com,,obuid,c6c8484c-4979-4327-9eac-48e5182d266e,.outbrain.com,/,1540897550,1533121550942118,1533121550942118,0,0,0,0
96,260,outbrain.com,,_ofcap_DOC1,AG8AZgBjAGEAcAACAAAAAGOb87oAZAQMPekpAGQEF+NUwQBkA+4+cQBkBA8gFeMAZAQPpGzxAGQ=,.outbrain.com,/,1533726350,1533121550942169,1533121550942169,0,0,0,0
97,261,outbrain.com,,recs_fbade9e36a3f36d3d676c1b808451dd7,0B2017807954A2005624256A2016348465A1873156755A1671164858A2024501283ACD1,.outbrain.com,/,1533121610,1533121550942200,1533121550942200,0,0,0,0
98,262,stackadapt.com,,sa-user-id,s%3A0-9f4ce34c-0987-405d-6825-dd195fcd1c74.C9zPD3WLlozPoZZb5ib6Kq41VJ9rJMDnpbwxcYxUOCI,.srv.stackadapt.com,/,1690801551,1533121551037915,1533121551037915,0,0,0,0
99,263,stackadapt.com,,sa-user-id-v2,s%3A0-9f4ce34c-0987-405d-6825-dd195fcd1c74%24ip%2489.238.154.24.c4NsIS5%2BVGNwmG7mfS%2F0aWr1D%2B0VG%2FX3es3Gqh%2F4HfQ,.srv.stackadapt.com,/,1690801551,1533121551037955,1533121551037955,0,0,0,0
100,266,sitescout.com,,ssi,e76556fc-76af-4a9b-bbbd-9c4e8cade1d4,.sitescout.com,/,1564657551,1533121551485724,1533121551485724,0,0,0,0
101,267,sitescout.com,,_ssum,eyI0IjoxNTMzMTIxNTUxNDU5LCI3IjoxNTMzMTIxNTUxNDU5fQ,.sitescout.com,/,1535713551,1533121551485834,1533121551485834,0,0,0,0
102,268,zemanta.com,,zuid,kK_S22hjSdY1f65-nws3,.zemanta.com,/,1564657551,1533121551579074,1533121551579074,0,0,0,0
103,269,rubiconproject.com,,pux,1512%3D75227%262249%3D75227%262307%3D75227%262974%3D75227%263778%3D75227%26a9eu%3D75227%26brx%3D75227%26goog%3D75227%26,eus.rubiconproject.com,/,1540897551,1533121551622727,1533121551622727,0,0,0,0
104,270,openx.net,,i,e63011dd-d3fe-0252-32ce-8a58a939ff40|1533121547,.openx.net,/,1564657551,1533121551700784,1533121547876186,0,0,0,0
105,271,openx.net,,pd,v2|1533121551|mOgikimWiygu,.openx.net,/,1534417551,1533121551700847,1533121551700847,0,0,0,0
106,272,zemanta.com,,zuidsync,,.zemanta.com,/,1534849551,1533121551779509,1533121551779509,0,0,0,0
107,273,adnxs.com,,uuid2,4873695977448961979,.adnxs.com,/,1540897552,1533121552015380,1533121192818157,0,1,0,0
108,274,demdex.net,,demdex,44229967325294272960747723600704501898,.demdex.net,/,1548673552,1533121552057634,1533121210758246,0,0,0,0
109,275,demdex.net,,dpm,44229967325294272960747723600704501898,.dpm.demdex.net,/,1548673552,1533121552057742,1533121211626965,0,0,0,0
110,277,turn.com,,uid,7395628835313335120,.turn.com,/,1548673552,1533121552476303,1533121549678270,0,0,0,0
111,278,rlcdn.com,,rlas3,1ssd3ivPTvrUhA6G08G8W1slK3DDh20wmR2GNXv48xE=,.rlcdn.com,/,1564657552,1533121552476867,1533121552476867,0,0,0,0
112,280,tapad.com,,TapAd_TS,1533121216701,.tapad.com,/,1538305552,1533121552503773,1533121216719831,0,0,0,0
113,281,tapad.com,,TapAd_DID,12b216d0-957a-11e8-8c12-0a580ad30604,.tapad.com,/,1538305552,1533121552503895,1533121216719926,0,0,0,0
114,283,3lift.com,,tluid,7361392117793201165,.3lift.com,/,1540897552,1533121552561690,1533121198523673,0,0,0,0
115,284,rlcdn.com,,pxrc,CJCohtsFEgUI6AcQABIFCOhHEAA=,.rlcdn.com,/,1538305552,1533121552610916,1533121552476919,0,0,0,0
116,285,impdesk.com,,idb,W2GUEGEceAAQKmi9W2GUEAFry18,.impdesk.com,/,1566817552,1533121552687422,1533121552687422,0,0,0,0
117,286,pippio.com,,did,4PHWqaz2wa0xoQoY,.pippio.com,/,1564657553,1533121553187401,1533121553187401,0,0,0,0
118,287,pippio.com,,didts,1533121553,.pippio.com,/,1564657553,1533121553187482,1533121553187482,0,0,0,0
119,288,pippio.com,,nnls,,.pippio.com,/,1538305553,1533121553187551,1533121553187551,0,0,0,0
120,289,pippio.com,,pxrc,CJGohtsFEgQIAhAAEgUIjBAQAA==,.pippio.com,/,1538305553,1533121553379222,1533121553187582,0,0,0,0
121,290,scoota.co,,tuuid,822e48fd-090f-47d0-85fb-4700d8efe4ea,r.scoota.co,/,1596193553,1533121553439338,1533121553439338,0,0,0,0
122,291,scoota.co,,tuuid_lu,1533121553,r.scoota.co,/,1596193553,1533121553439424,1533121553439424,0,0,0,0
123,292,krxd.net,,_kuid_,MHyxxBct,.krxd.net,/,1548673556,1533121556520554,1533121164961377,0,0,0,0
